iter	Passed	Remaining
0	143	142999
1	144	72327
2	147	48891
3	148	37027
4	150	29896
5	151	25156
6	153	21765
7	155	19222
8	156	17198
9	157	15613
10	159	14303
11	160	13217
12	161	12282
13	162	11478
14	164	10784
15	165	10175
16	167	9661
17	168	9173
18	169	8764
19	171	8392
20	172	8038
21	173	7719
22	175	7444
23	176	7177
24	177	6925
25	178	6699
26	180	6494
27	181	6309
28	182	6117
29	183	5940
30	184	5776
31	185	5617
32	186	5475
33	188	5344
34	189	5217
35	190	5110
36	192	5006
37	193	4895
38	194	4796
39	195	4697
40	197	4611
41	198	4522
42	199	4443
43	200	4361
44	201	4285
45	203	4227
46	205	4166
47	206	4101
48	208	4040
49	209	3979
50	210	3920
51	211	3863
52	213	3807
53	214	3754
54	215	3700
55	216	3648
56	217	3599
57	219	3559
58	220	3518
59	221	3474
60	222	3428
61	223	3388
62	225	3347
63	226	3312
64	227	3275
65	228	3238
66	230	3203
67	231	3167
68	232	3136
69	233	3103
70	234	3074
71	236	3042
72	237	3013
73	238	2981
74	239	2958
75	241	2934
76	242	2905
77	243	2882
78	244	2855
79	245	2828
80	247	2804
81	248	2782
82	249	2755
83	250	2734
84	252	2715
85	253	2690
86	254	2669
87	255	2647
88	256	2626
89	257	2605
90	258	2587
91	260	2568
92	261	2547
93	262	2528
94	263	2508
95	264	2495
96	266	2479
97	267	2460
98	268	2441
99	269	2423
100	270	2405
101	271	2388
102	272	2371
103	273	2355
104	274	2338
105	275	2322
106	276	2308
107	277	2293
108	278	2279
109	280	2267
110	281	2255
111	282	2242
112	283	2228
113	284	2214
114	286	2201
115	286	2186
116	287	2171
117	288	2158
118	290	2147
119	291	2137
120	292	2124
121	293	2111
122	294	2101
123	296	2095
124	298	2086
125	299	2078
126	300	2066
127	302	2057
128	303	2046
129	304	2036
130	305	2027
131	306	2016
132	307	2007
133	308	1995
134	310	1986
135	311	1977
136	312	1968
137	313	1958
138	314	1948
139	315	1939
140	316	1929
141	317	1917
142	318	1907
143	319	1899
144	320	1889
145	321	1881
146	322	1872
147	323	1864
148	325	1859
149	327	1853
150	328	1845
151	329	1836
152	330	1827
153	331	1818
154	332	1811
155	333	1803
156	334	1796
157	335	1787
158	336	1780
159	337	1772
160	338	1763
161	339	1757
162	341	1752
163	342	1746
164	343	1738
165	344	1731
166	345	1724
167	346	1717
168	347	1710
169	348	1703
170	349	1696
171	351	1691
172	352	1683
173	353	1676
174	354	1669
175	355	1664
176	356	1658
177	357	1652
178	358	1646
179	359	1639
180	361	1633
181	362	1627
182	363	1620
183	364	1614
184	365	1608
185	366	1601
186	367	1595
187	368	1589
188	369	1583
189	370	1578
190	371	1573
191	372	1567
192	373	1562
193	374	1556
194	375	1550
195	376	1545
196	377	1539
197	378	1534
198	380	1530
199	381	1525
200	382	1520
201	383	1515
202	384	1511
203	386	1507
204	387	1502
205	388	1497
206	389	1492
207	390	1488
208	391	1483
209	393	1478
210	394	1474
211	395	1469
212	396	1464
213	397	1459
214	398	1454
215	399	1449
216	400	1446
217	402	1442
218	403	1438
219	404	1435
220	406	1431
221	407	1427
222	408	1422
223	409	1418
224	410	1413
225	411	1408
226	412	1404
227	413	1399
228	414	1395
229	415	1391
230	417	1388
231	418	1384
232	419	1379
233	420	1374
234	421	1370
235	422	1366
236	423	1362
237	424	1358
238	425	1353
239	426	1349
240	427	1345
241	428	1340
242	429	1336
243	430	1332
244	431	1329
245	432	1326
246	433	1322
247	434	1317
248	435	1314
249	436	1310
250	437	1306
251	438	1302
252	439	1298
253	440	1294
254	441	1291
255	443	1287
256	444	1283
257	445	1281
258	446	1278
259	447	1275
260	448	1271
261	449	1267
262	450	1263
263	451	1259
264	452	1256
265	453	1252
266	454	1248
267	455	1245
268	457	1242
269	458	1238
270	459	1235
271	460	1231
272	461	1228
273	462	1225
274	463	1222
275	464	1218
276	465	1215
277	466	1211
278	467	1208
279	468	1205
280	470	1202
281	470	1199
282	472	1195
283	472	1192
284	473	1188
285	474	1185
286	476	1183
287	477	1180
288	478	1177
289	479	1174
290	480	1170
291	481	1167
292	482	1164
293	483	1161
294	484	1158
295	485	1155
296	486	1152
297	487	1149
298	488	1146
299	489	1143
300	491	1142
301	493	1139
302	493	1136
303	495	1133
304	495	1130
305	496	1126
