iter	Passed	Remaining
0	1	123
1	2	112
2	3	108
3	4	99
4	5	96
5	5	92
6	6	89
7	7	86
8	8	86
9	9	83
10	9	80
11	10	78
12	11	77
13	12	75
14	13	73
15	14	74
16	14	72
17	15	72
18	16	70
19	17	69
20	18	68
21	18	67
22	19	66
23	20	64
24	21	63
25	21	61
26	22	60
27	23	59
28	23	58
29	24	57
30	25	56
31	26	55
32	27	54
33	27	53
34	28	53
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	33	47
41	34	47
42	34	46
43	35	45
44	36	44
45	37	43
46	37	42
47	38	41
48	39	41
49	40	40
50	41	39
51	42	38
52	42	38
53	43	37
54	44	36
55	45	35
56	46	35
57	47	34
58	48	33
59	49	32
60	50	32
61	51	31
62	52	30
63	52	29
64	53	29
65	54	28
66	55	27
67	56	26
68	57	25
69	58	24
70	58	24
71	59	23
72	60	22
73	61	21
74	62	20
75	62	19
76	63	18
77	64	18
78	64	17
79	65	16
80	66	15
81	67	14
82	67	13
83	68	13
84	69	12
85	70	11
86	71	10
87	71	9
88	72	8
89	73	8
90	74	7
91	75	6
92	75	5
93	76	4
94	77	4
95	78	3
96	79	2
97	80	1
98	81	0
99	82	0
